Device:  cuda:0
Net:  deeplab
load weights from:  /home/rogqigx171/Lane_segmentation/weights_1/ep_7_ls_0.021_0.570.pth
Prepare data...batch_size: 2, img_size: (1536, 512), crop_offset: 690
Begin training...
TRAIN:[epoch-0 , iter-52]  iter loss:0.036  iter miou:0.620  epoch_loss:0.038  epoch_miou:0.445
TRAIN:[epoch-0 , iter-53]  iter loss:0.013  iter miou:0.457  epoch_loss:0.038  epoch_miou:0.445
TRAIN:[epoch-0 , iter-54]  iter loss:0.029  iter miou:0.514  epoch_loss:0.038  epoch_miou:0.447
TRAIN:[epoch-0 , iter-55]  iter loss:0.018  iter miou:0.589  epoch_loss:0.037  epoch_miou:0.449
TRAIN:[epoch-0 , iter-56]  iter loss:0.024  iter miou:0.546  epoch_loss:0.037  epoch_miou:0.451
TRAIN:[epoch-0 , iter-57]  iter loss:0.017  iter miou:0.393  epoch_loss:0.037  epoch_miou:0.450
TRAIN:[epoch-0 , iter-58]  iter loss:0.044  iter miou:0.633  epoch_loss:0.037  epoch_miou:0.453
TRAIN:[epoch-0 , iter-59]  iter loss:0.017  iter miou:0.373  epoch_loss:0.037  epoch_miou:0.452
TRAIN:[epoch-0 , iter-60]  iter loss:0.024  iter miou:0.468  epoch_loss:0.036  epoch_miou:0.452
TRAIN:[epoch-0 , iter-61]  iter loss:0.009  iter miou:0.404  epoch_loss:0.036  epoch_miou:0.451
TRAIN:[epoch-0 , iter-62]  iter loss:0.030  iter miou:0.469  epoch_loss:0.036  epoch_miou:0.451
TRAIN:[epoch-0 , iter-63]  iter loss:0.025  iter miou:0.536  epoch_loss:0.036  epoch_miou:0.453
TRAIN:[epoch-0 , iter-64]  iter loss:0.024  iter miou:0.347  epoch_loss:0.035  epoch_miou:0.451
TRAIN:[epoch-0 , iter-65]  iter loss:0.041  iter miou:0.374  epoch_loss:0.036  epoch_miou:0.450
TRAIN:[epoch-0 , iter-66]  iter loss:0.012  iter miou:0.478  epoch_loss:0.035  epoch_miou:0.450
TRAIN:[epoch-0 , iter-67]  iter loss:0.028  iter miou:0.521  epoch_loss:0.035  epoch_miou:0.451
TRAIN:[epoch-0 , iter-68]  iter loss:0.018  iter miou:0.342  epoch_loss:0.035  epoch_miou:0.450
TRAIN:[epoch-0 , iter-69]  iter loss:0.031  iter miou:0.365  epoch_loss:0.035  epoch_miou:0.449
TRAIN:[epoch-0 , iter-70]  iter loss:0.017  iter miou:0.471  epoch_loss:0.034  epoch_miou:0.449
TRAIN:[epoch-0 , iter-71]  iter loss:0.011  iter miou:0.469  epoch_loss:0.034  epoch_miou:0.449
TRAIN:[epoch-0 , iter-72]  iter loss:0.029  iter miou:0.451  epoch_loss:0.034  epoch_miou:0.449
TRAIN:[epoch-0 , iter-73]  iter loss:0.037  iter miou:0.378  epoch_loss:0.034  epoch_miou:0.448
TRAIN:[epoch-0 , iter-74]  iter loss:0.025  iter miou:0.299  epoch_loss:0.034  epoch_miou:0.446
