Device:  cuda:0
Net:  deeplab
Prepare data...batch_size: 2, img_size: (1024, 384), crop_offset: 690
Begin training...
[epoch-1 , iter-33]  iter loss:0.093  epoch_loss:0.188
[epoch-1 , iter-34]  iter loss:0.123  epoch_loss:0.186
[epoch-1 , iter-35]  iter loss:0.331  epoch_loss:0.190
[epoch-1 , iter-36]  iter loss:0.168  epoch_loss:0.190
[epoch-1 , iter-37]  iter loss:0.073  epoch_loss:0.187
[epoch-1 , iter-38]  iter loss:0.121  epoch_loss:0.185
[epoch-1 , iter-39]  iter loss:0.130  epoch_loss:0.184
[epoch-1 , iter-40]  iter loss:0.261  epoch_loss:0.185
[epoch-1 , iter-41]  iter loss:0.172  epoch_loss:0.185
[epoch-1 , iter-42]  iter loss:0.240  epoch_loss:0.186
[epoch-1 , iter-43]  iter loss:0.102  epoch_loss:0.184
[epoch-1 , iter-44]  iter loss:0.215  epoch_loss:0.185
[epoch-1 , iter-45]  iter loss:0.162  epoch_loss:0.185
[epoch-1 , iter-46]  iter loss:0.133  epoch_loss:0.184
[epoch-1 , iter-47]  iter loss:0.185  epoch_loss:0.184
[epoch-1 , iter-48]  iter loss:0.105  epoch_loss:0.182
[epoch-1 , iter-49]  iter loss:0.153  epoch_loss:0.181
[epoch-1 , iter-50]  iter loss:0.114  epoch_loss:0.180
[epoch-1 , iter-51]  iter loss:0.102  epoch_loss:0.178
[epoch-1 , iter-52]  iter loss:0.175  epoch_loss:0.178
[epoch-1 , iter-53]  iter loss:0.111  epoch_loss:0.177
[epoch-1 , iter-54]  iter loss:0.359  epoch_loss:0.180
[epoch-1 , iter-55]  iter loss:0.068  epoch_loss:0.178
[epoch-1 , iter-56]  iter loss:0.098  epoch_loss:0.177
[epoch-1 , iter-57]  iter loss:0.171  epoch_loss:0.177
[epoch-1 , iter-58]  iter loss:0.061  epoch_loss:0.175
[epoch-1 , iter-59]  iter loss:0.126  epoch_loss:0.174
[epoch-1 , iter-60]  iter loss:0.343  epoch_loss:0.177
[epoch-2 , iter-1]  iter loss:0.227  epoch_loss:0.227
[epoch-2 , iter-2]  iter loss:0.079  epoch_loss:0.153
[epoch-2 , iter-3]  iter loss:0.153  epoch_loss:0.153
