Device:  cuda:0
Net:  deeplab
Prepare data...batch_size: 2, img_size: (1024, 384), crop_offset: 690
Begin training...
TRAIN:[epoch-0 , iter-53]  iter loss:0.154  iter miou:0.154  epoch_loss:0.464  epoch_miou:0.123
TRAIN:[epoch-0 , iter-54]  iter loss:0.149  iter miou:0.127  epoch_loss:0.458  epoch_miou:0.123
TRAIN:[epoch-0 , iter-55]  iter loss:0.315  iter miou:0.122  epoch_loss:0.456  epoch_miou:0.123
TRAIN:[epoch-0 , iter-56]  iter loss:0.482  iter miou:0.114  epoch_loss:0.456  epoch_miou:0.123
TRAIN:[epoch-0 , iter-57]  iter loss:0.101  iter miou:0.166  epoch_loss:0.450  epoch_miou:0.124
TRAIN:[epoch-0 , iter-58]  iter loss:0.134  iter miou:0.137  epoch_loss:0.444  epoch_miou:0.124
TRAIN:[epoch-0 , iter-59]  iter loss:0.128  iter miou:0.151  epoch_loss:0.439  epoch_miou:0.124
TRAIN:[epoch-0 , iter-60]  iter loss:0.171  iter miou:0.124  epoch_loss:0.434  epoch_miou:0.124
EVAL:[epoch-0 , iter-1]  iter loss:1.966  iter miou:0.122  epoch_loss:1.966  epoch_miou:0.122
EVAL:[epoch-0 , iter-2]  iter loss:5.289  iter miou:0.120  epoch_loss:3.628  epoch_miou:0.121
EVAL:[epoch-0 , iter-3]  iter loss:0.277  iter miou:0.127  epoch_loss:2.511  epoch_miou:0.123
EVAL:[epoch-0 , iter-4]  iter loss:0.442  iter miou:0.114  epoch_loss:1.994  epoch_miou:0.121
EVAL:[epoch-0 , iter-5]  iter loss:0.223  iter miou:0.120  epoch_loss:1.640  epoch_miou:0.121
EVAL:[epoch-0 , iter-6]  iter loss:3.245  iter miou:0.114  epoch_loss:1.907  epoch_miou:0.119
EVAL:[epoch-0 , iter-7]  iter loss:1.845  iter miou:0.120  epoch_loss:1.898  epoch_miou:0.120
EVAL:[epoch-0 , iter-8]  iter loss:1.915  iter miou:0.118  epoch_loss:1.900  epoch_miou:0.119
EVAL:[epoch-0 , iter-9]  iter loss:0.620  iter miou:0.120  epoch_loss:1.758  epoch_miou:0.119
EVAL:[epoch-0 , iter-10]  iter loss:0.207  iter miou:0.128  epoch_loss:1.603  epoch_miou:0.120
EVAL:[epoch-0 , iter-11]  iter loss:1.673  iter miou:0.122  epoch_loss:1.609  epoch_miou:0.120
EVAL:[epoch-0 , iter-12]  iter loss:0.430  iter miou:0.115  epoch_loss:1.511  epoch_miou:0.120
EVAL:[epoch-0 , iter-13]  iter loss:1.158  iter miou:0.122  epoch_loss:1.484  epoch_miou:0.120
EVAL:[epoch-0 , iter-14]  iter loss:0.461  iter miou:0.121  epoch_loss:1.411  epoch_miou:0.120
EVAL:[epoch-0 , iter-15]  iter loss:1.267  iter miou:0.122  epoch_loss:1.401  epoch_miou:0.120
EVAL:[epoch-0 , iter-16]  iter loss:2.601  iter miou:0.121  epoch_loss:1.476  epoch_miou:0.120
EVAL:[epoch-0 , iter-17]  iter loss:3.575  iter miou:0.119  epoch_loss:1.600  epoch_miou:0.120
EVAL:[epoch-0 , iter-18]  iter loss:0.233  iter miou:0.130  epoch_loss:1.524  epoch_miou:0.121
EVAL:[epoch-0 , iter-19]  iter loss:0.543  iter miou:0.122  epoch_loss:1.472  epoch_miou:0.121
EVAL:[epoch-0 , iter-20]  iter loss:0.223  iter miou:0.121  epoch_loss:1.410  epoch_miou:0.121
EVAL:[epoch-0 , iter-21]  iter loss:1.320  iter miou:0.121  epoch_loss:1.405  epoch_miou:0.121
